ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,score_venta
12496.0,Married,Female,40000.0,1.0,Bachelors,Skilled Manual,Yes,0.0,0-1 Miles,Europe,42.0,No,0.25540382024908875
24107.0,Married,Male,30000.0,3.0,Partial College,Clerical,Yes,1.0,0-1 Miles,Europe,43.0,No,0.003928571428571428
14177.0,Married,Male,80000.0,5.0,Partial College,Professional,No,2.0,2-5 Miles,Europe,60.0,No,0.43281105574627576
24381.0,Single,Male,70000.0,0.0,Bachelors,Professional,Yes,1.0,5-10 Miles,Pacific,41.0,Yes,0.5990888857444581
25597.0,Single,Male,30000.0,0.0,Bachelors,Clerical,No,0.0,0-1 Miles,Europe,36.0,Yes,0.9988461538461538
13507.0,Married,Female,10000.0,2.0,Partial College,Manual,Yes,0.0,1-2 Miles,Europe,50.0,No,0.005011904761904762
27974.0,Single,Male,130000.0,2.0,High School,Management,Yes,4.0,0-1 Miles,Pacific,33.0,Yes,0.9834282106782107
19364.0,Married,Male,40000.0,1.0,Bachelors,Skilled Manual,Yes,0.0,0-1 Miles,Europe,43.0,Yes,1.0
22155.0,Married,Male,20000.0,2.0,Partial High School,Clerical,Yes,2.0,5-10 Miles,Pacific,58.0,No,0.004606837606837607
19280.0,Married,Male,60000.0,2.0,Partial College,Manual,Yes,1.0,0-1 Miles,Europe,43.0,Yes,0.46317488842856464
22173.0,Married,Female,30000.0,3.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,54.0,Yes,0.9838663514847725
12697.0,Single,Female,90000.0,0.0,Bachelors,Professional,No,4.0,10+ Miles,Pacific,36.0,No,0.020576583504215085
11434.0,Married,Male,130000.0,5.0,Partial College,Professional,Yes,1.0,0-1 Miles,Europe,55.0,No,0.005348901098901099
25323.0,Married,Male,40000.0,2.0,Partial College,Clerical,Yes,1.0,1-2 Miles,Europe,35.0,Yes,0.9962931839402428
23542.0,Single,Male,60000.0,1.0,Partial College,Skilled Manual,No,1.0,0-1 Miles,Pacific,45.0,Yes,0.9845658369408369
20870.0,Single,Female,10000.0,2.0,High School,Manual,Yes,1.0,0-1 Miles,Europe,38.0,Yes,0.9908909978909979
23316.0,Single,Male,30000.0,3.0,Partial College,Clerical,No,2.0,1-2 Miles,Pacific,59.0,Yes,0.9620953768453768
12610.0,Married,Female,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,47.0,No,0.0015000000000000002
27183.0,Single,Male,40000.0,2.0,Partial College,Clerical,Yes,1.0,1-2 Miles,Europe,35.0,Yes,0.9934325396825398
25940.0,Single,Male,20000.0,2.0,Partial High School,Clerical,Yes,2.0,5-10 Miles,Pacific,55.0,Yes,0.8838231141278738
25598.0,Married,Female,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,36.0,Yes,0.9982517482517482
21564.0,Single,Female,80000.0,0.0,Bachelors,Professional,Yes,4.0,10+ Miles,Pacific,35.0,No,0.016784916837548416
19193.0,Single,Male,40000.0,2.0,Partial College,Clerical,Yes,0.0,1-2 Miles,Europe,35.0,Yes,0.983614010989011
26412.0,Married,Female,80000.0,5.0,High School,Management,No,3.0,5-10 Miles,Europe,56.0,No,0.13431952329146601
27184.0,Single,Male,40000.0,2.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,34.0,No,0.01520500333000333
12590.0,Single,Male,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,63.0,No,0.7878551292338476
17841.0,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,29.0,Yes,0.9933123543123543
18283.0,Married,Female,100000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,40.0,No,0.027500880655292423
18299.0,Married,Male,70000.0,5.0,Partial College,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,44.0,No,0.02133116883116883
16466.0,Single,Female,20000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,32.0,Yes,0.15868372844289008
19273.0,Married,Female,20000.0,2.0,Partial College,Manual,Yes,0.0,0-1 Miles,Europe,63.0,No,0.10346754002604383
22400.0,Married,Male,10000.0,0.0,Partial College,Manual,No,1.0,0-1 Miles,Pacific,26.0,Yes,0.9688606601731601
20942.0,Single,Female,20000.0,0.0,High School,Manual,No,1.0,5-10 Miles,Europe,31.0,No,0.00865546218487395
18484.0,Single,Male,80000.0,2.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,50.0,Yes,0.8910158126187541
12291.0,Single,Male,90000.0,5.0,Partial College,Professional,No,2.0,2-5 Miles,Europe,62.0,Yes,0.8689290063800931
